;code;label;lon;lat;elevation;country_code;canton_code;type
0;DAV2;Bärentälli;9.8194108372;46.6988884749;2558.0;CH;GR;SNOW_FLAT
1;VSC1;Piz San Jon Dadaint;10.3391321077;46.7532597113;3092.0;CH;GR;WIND
2;MUT2;Mutten;9.0174835389;46.8587579889;2481.0;CH;GL;SNOW_FLAT
3;TUM2;Val Miez;9.0214677369;46.7810661513;2191.0;CH;GR;SNOW_FLAT
4;GLA2;Guppen;9.0375823269;46.9966288477;1632.0;CH;GL;SNOW_FLAT
5;GAN2;Gandegg;7.7606058532;46.4292605185;2710.0;CH;VS;SNOW_FLAT
6;GOR2;Gornergratsee;7.7835986582;45.987191604;2953.0;CH;VS;SNOW_FLAT
7;GOM1;Chummehorn;8.242043709;46.4214595345;2728.0;CH;VS;WIND
8;ILI1;Pointe des Mossettes;6.8162127612;46.1905725965;2276.0;CH;VS;WIND
9;VAL2;Vallascia;8.6137900109;46.5490383567;2268.0;CH;TI;SNOW_FLAT
10;BEL2;Belalp;7.9741748172;46.3948462315;2554.0;CH;VS;SNOW_FLAT
11;TAM3;Schaftäli;9.4581666399;46.8909840671;2166.0;CH;SG;SNOW_FLAT
12;ILI2;Les Collines;6.8277969399;46.1913556421;2022.0;CH;VS;SNOW_FLAT
13;MAN1;Männlichen;7.9380665942;46.6181151828;2341.0;CH;BE;WIND
14;GOS2;Rientallücke;8.6317718837;46.6732650302;2325.0;CH;UR;SNOW_FLAT
15;ROT3;Plang Bi;9.6043854696;46.73311604;2495.0;CH;GR;SNOW_FLAT
16;FUL2;Grand Cor;7.089660915;46.1946840247;2602.0;CH;VS;SNOW_FLAT
17;ADE3;Lavey-Sattligrat;7.4901379524;46.4755274076;2355.0;CH;BE;FLOWCAPT
18;FRA2;Efra;8.8531771044;46.3382366776;2100.0;CH;TI;SNOW_FLAT
19;SMN2;Ravaischer Salaas;10.3383398808;46.9563799569;2512.0;CH;GR;SNOW_FLAT
20;BER1;Lagalb;10.0236433016;46.4314809644;2956.0;CH;GR;WIND
21;VLS2;Alp Calasa;9.2052412263;46.674410774;2064.0;CH;GR;SNOW_FLAT
22;HIN1;Hinterrugg;9.3048184085;47.1533304738;2306.0;CH;SG;WIND
23;KLO1;Sant Jaggem;9.8684912152;46.9208110854;2542.0;CH;GR;WIND
24;NEN3;Combatzeline;7.3352965551;46.1431837197;2203.0;CH;VS;SNOW_FLAT
25;ARO1;La Cassorte;7.4352901353;46.0353666322;3300.0;CH;VS;WIND
26;ADE2;Engstligenalp;7.5826331479;46.4343654484;2304.0;CH;BE;SNOW_FLAT
27;GRA2;Loz;6.7835498034;46.3460619908;1984.0;CH;VS;SNOW_FLAT
28;CAM2;Fontane;8.7174724568;46.4657248139;2216.0;CH;TI;SNOW_FLAT
29;PLD2;Primelod;7.2506226655;46.4263551027;2050.0;CH;BE;FLOWCAPT
30;SCH2;Türliboden;7.8347322559;46.5769159849;2332.0;CH;BE;SNOW_FLAT
31;KES1;Piz Val Müra;9.9006646574;46.6282585244;3152.0;CH;GR;WIND
32;LUM2;Lumpegna Süd;8.86169;46.73118;2365.0;CH;GR;SNOW_SLOPE
33;LAU1;Lauenehore;7.3545037887;46.4402079652;2476.0;CH;BE;WIND
34;FRA3;Costa;8.8181148693;46.3519577648;2170.0;CH;TI;FLOWCAPT
35;KLT4;Schiiterböden;8.9865970547;47.0472075708;1745.0;CH;GL;SNOW_FLAT
36;JUL2;Vairana;9.6923110222;46.4784967542;2426.0;CH;GR;SNOW_FLAT
37;JUL1;Piz Bardella;9.7028930374;46.4823359001;2838.0;CH;GR;WIND
38;OFE1;Piz Dora;10.3061266469;46.6050556165;2949.0;CH;GR;WIND
39;ROA2;Rotschalp;7.9939410504;46.7743190257;1875.0;CH;BE;SNOW_FLAT
40;TIT2;Titlisboden;8.4094821255;46.7860094143;2149.0;CH;OW;SNOW_FLAT
41;CON2;Etang de Trente Pas;7.2742084386;46.2897391354;2229.0;CH;VS;SNOW_FLAT
42;GOM2;Bodmerchumma;8.2324938175;46.4204561981;2439.0;CH;VS;SNOW_FLAT
43;STN2;Oberer Stelligletscher;7.7505585279;46.1678110194;2914.0;CH;VS;SNOW_FLAT
44;CMA2;La Fuorcla;9.1834549366;46.8468715389;2325.0;CH;GR;SNOW_FLAT
45;LAU2;Trüttlisbergpass;7.3798673829;46.4260290609;1970.0;CH;BE;SNOW_FLAT
46;FOU1;Le Portalet;7.0560007066;45.9915074932;3344.0;CH;VS;WIND
47;ROA1;Brienzer Rothorn;8.0469171504;46.7871200871;2348.0;CH;BE;WIND
48;AMD2;Bärenfall;9.1468825807;47.1708370848;1610.0;CH;SG;SNOW_FLAT
49;KLO3;Gatschiefer;9.9316718171;46.8412707968;2299.0;CH;GR;SNOW_FLAT
50;BOR2;Bortelsee;8.1093018432;46.2905306886;2517.0;CH;VS;SNOW_FLAT
