code;station_name;lon;lat;elevation;country_code;type;canton_code;alpine_region
DAV2;Bärentälli;9.819411277771;46.6988868713379;2558;CH;SNOW_FLAT;GR;Eastern Alps
VSC1;Piz San Jon Dadaint;10.33913230896;46.7532615661621;3092;CH;WIND;GR;Eastern Alps
MUT2;Mutten;9.01748371124268;46.858757019043;2481;CH;SNOW_FLAT;GL;Eastern Alps
TUM2;Val Miez;9.02146816253662;46.7810668945313;2191;CH;SNOW_FLAT;GR;Eastern Alps
GLA2;Guppen;9.03758239746094;46.9966278076172;1632;CH;SNOW_FLAT;GL;Eastern Alps
GAN2;Gandegg;7.76060581207275;46.4292602539063;2710;CH;SNOW_FLAT;VS;Southern Alps
GOR2;Gornergratsee;7.78359842300415;45.987190246582;2953;CH;SNOW_FLAT;VS;Southern Alps
GOM1;Chummehorn;8.24204349517822;46.421459197998;2728;CH;WIND;VS;Southern Alps
ILI1;Pointe des Mossettes;6.81621265411377;46.1905708312988;2276;CH;WIND;VS;Southern Alps
VAL2;Vallascia;8.61378955841064;46.5490379333496;2268;CH;SNOW_FLAT;TI;Southern Alps
BEL2;Belalp;7.97417497634888;46.394847869873;2554;CH;SNOW_FLAT;VS;Southern Alps
TAM3;Schaftäli;9.45816707611084;46.890983581543;2166;CH;SNOW_FLAT;SG;Eastern Alps
ILI2;Les Collines;6.82779693603516;46.1913566589355;2022;CH;SNOW_FLAT;VS;Southern Alps
MAN1;Männlichen;7.93806648254395;46.6181144714355;2341;CH;WIND;BE;Western Alps
GOS2;Rientallücke;8.6317720413208;46.6732635498047;2325;CH;SNOW_FLAT;UR;Central Alps
ROT3;Plang Bi;9.60438537597656;46.7331161499023;2495;CH;SNOW_FLAT;GR;Eastern Alps
FUL2;Grand Cor;7.08966112136841;46.1946830749512;2602;CH;SNOW_FLAT;VS;Southern Alps
ADE3;Lavey-Sattligrat;7.49013805389404;46.475528717041;2355;CH;FLOWCAPT;BE;Western Alps
FRA2;Efra;8.85317707061768;46.3382377624512;2100;CH;SNOW_FLAT;TI;Southern Alps
SMN2;Ravaischer Salaas;10.338339805603;46.9563789367676;2512;CH;SNOW_FLAT;GR;Eastern Alps
BER1;Lagalb;10.0236434936523;46.4314804077148;2956;CH;WIND;GR;Eastern Alps
VLS2;Alp Calasa;9.20524120330811;46.6744117736816;2064;CH;SNOW_FLAT;GR;Eastern Alps
HIN1;Hinterrugg;9.30481815338135;47.1533317565918;2306;CH;WIND;SG;Eastern Alps
KLO1;Sant Jaggem;9.86849117279053;46.9208106994629;2542;CH;WIND;GR;Eastern Alps
NEN3;Combatzeline;7.33529663085938;46.1431846618652;2203;CH;SNOW_FLAT;VS;Southern Alps
ARO1;La Cassorte;7.43529033660889;46.0353660583496;3300;CH;WIND;VS;Southern Alps
ADE2;Engstligenalp;7.58263301849365;46.4343643188477;2304;CH;SNOW_FLAT;BE;Western Alps
GRA2;Loz;6.78354978561401;46.346061706543;1984;CH;SNOW_FLAT;VS;Southern Alps
CAM2;Fontane;8.71747207641602;46.4657249450684;2216;CH;SNOW_FLAT;TI;Southern Alps
PLD2;Primelod;7.25062274932861;46.4263534545898;2050;CH;FLOWCAPT;BE;Western Alps
SCH2;Türliboden;7.83473205566406;46.5769157409668;2332;CH;SNOW_FLAT;BE;Western Alps
KES1;Piz Val Müra;9.90066432952881;46.6282577514648;3152;CH;WIND;GR;Eastern Alps
LUM2;Lumpegna Süd;8.86168956756592;46.7311782836914;2365;CH;SNOW_SLOPE;GR;Eastern Alps
LAU1;Lauenehore;7.3545036315918;46.4402084350586;2476;CH;WIND;BE;Western Alps
FRA3;Costa;8.818115234375;46.3519592285156;2170;CH;FLOWCAPT;TI;Southern Alps
KLT4;Schiiterböden;8.98659706115723;47.0472068786621;1745;CH;SNOW_FLAT;GL;Eastern Alps
JUL2;Vairana;9.69231128692627;46.4784965515137;2426;CH;SNOW_FLAT;GR;Eastern Alps
JUL1;Piz Bardella;9.70289325714111;46.4823341369629;2838;CH;WIND;GR;Eastern Alps
OFE1;Piz Dora;10.3061265945435;46.6050567626953;2949;CH;WIND;GR;Eastern Alps
ROA2;Rotschalp;7.99394083023071;46.7743186950684;1875;CH;SNOW_FLAT;BE;Western Alps
TIT2;Titlisboden;8.4094820022583;46.7860107421875;2149;CH;SNOW_FLAT;OW;Central Alps
CON2;Etang de Trente Pas;7.27420854568481;46.289737701416;2229;CH;SNOW_FLAT;VS;Southern Alps
GOM2;Bodmerchumma;8.23249340057373;46.4204559326172;2439;CH;SNOW_FLAT;VS;Southern Alps
STN2;Oberer Stelligletscher;7.75055837631226;46.1678123474121;2914;CH;SNOW_FLAT;VS;Southern Alps
CMA2;La Fuorcla;9.1834545135498;46.8468704223633;2325;CH;SNOW_FLAT;GR;Eastern Alps
LAU2;Trüttlisbergpass;7.37986755371094;46.4260292053223;1970;CH;SNOW_FLAT;BE;Western Alps
FOU1;Le Portalet;7.05600070953369;45.9915084838867;3344;CH;WIND;VS;Southern Alps
ROA1;Brienzer Rothorn;8.04691696166992;46.7871208190918;2348;CH;WIND;BE;Western Alps
AMD2;Bärenfall;9.14688301086426;47.1708374023438;1610;CH;SNOW_FLAT;SG;Eastern Alps
KLO3;Gatschiefer;9.93167209625244;46.8412704467773;2299;CH;SNOW_FLAT;GR;Eastern Alps
BOR2;Bortelsee;8.10930156707764;46.2905311584473;2517;CH;SNOW_FLAT;VS;Southern Alps
OBW2;Jostsee;8.31595516204834;46.545223236084;2432;CH;SNOW_FLAT;VS;Southern Alps
LAG1;Lagrev;9.73308277130127;46.4488906860352;3085;CH;WIND;GR;Eastern Alps
JAU1;Chörblispitz;7.26894998550415;46.6296844482422;2103;CH;WIND;FR;Western Alps
DTR2;Preda;8.86906051635742;46.5428657531738;2057;CH;SNOW_FLAT;TI;Southern Alps
GUT1;Bänzlauistock;8.27797603607178;46.6925201416016;2528;CH;WIND;BE;Western Alps
SHE2;Schibe;7.81244945526123;46.7488250732422;1852;CH;SNOW_FLAT;BE;Western Alps
VIN2;Alpetta;10.4428462982178;46.9317665100098;2729;CH;SNOW_FLAT;GR;Eastern Alps
FLU2;Flüelapass;9.94644451141357;46.7527122497559;2394;CH;SNOW_FLAT;GR;Eastern Alps
MAE2;Itramen;7.94354200363159;46.6186485290527;2162;CH;SNOW_FLAT;BE;Western Alps
VSC2;Trigl;10.3529062271118;46.7488212585449;2914;CH;SNOW_FLAT;GR;Eastern Alps
DAV3;Hanengretji;9.7739896774292;46.7888336181641;2455;CH;SNOW_FLAT;GR;Eastern Alps
OBW1;Sidelhorn;8.30841541290283;46.5498504638672;2733;CH;WIND;VS;Southern Alps
NAR1;Motto Crostel;8.86691665649414;46.4651031494141;2299;CH;WIND;TI;Southern Alps
KES2;Porta d'Es-cha;9.89813899993896;46.6212844848633;2727;CH;SNOW_FLAT;GR;Eastern Alps
SCB2;Schönbüel;8.10343837738037;46.7793731689453;1777;CH;SNOW_FLAT;OW;Central Alps
ZER1;Platthorn;7.73632907867432;46.0536575317383;3345;CH;WIND;VS;Southern Alps
SPN2;Ze Seewe;8.1176233291626;46.2294425964355;2620;CH;SNOW_FLAT;VS;Southern Alps
TUJ3;Nual;8.7402229309082;46.647029876709;2211;CH;SNOW_FLAT;GR;Eastern Alps
FAE1;Albristhorn;7.48933744430542;46.4971160888672;2761;CH;WIND;BE;Western Alps
RNZ2;Rienzenstock;8.62678813934326;46.6855697631836;2400;CH;SNOW_FLAT;UR;Central Alps
BED3;Cassinello;8.52191352844238;46.4911575317383;2101;CH;SNOW_FLAT;TI;Southern Alps
KLT1;Wiggis;9.0253849029541;47.0653076171875;2282;CH;WIND;GL;Eastern Alps
ZER2;Triftchumme;7.72740507125854;46.0421752929688;2752;CH;SNOW_FLAT;VS;Southern Alps
BER2;Motta Bianca;10.0292015075684;46.4205703735352;2447;CH;SNOW_FLAT;GR;Eastern Alps
MUN1;Gärsthorn;7.91670083999634;46.3438262939453;2926;CH;WIND;VS;Southern Alps
NAS2;Schlivèra;10.2553205490112;46.8150367736816;2350;CH;SNOW_FLAT;GR;Eastern Alps
TAM1;Wildseehorn;9.39974975585938;46.9674224853516;2689;CH;WIND;SG;Eastern Alps
VIA2;Teststation Viano;10.1670198440552;46.2616882324219;2355;CH;SNOW_FLAT;GR;Eastern Alps
ELS2;Elsige;7.64164161682129;46.5296020507813;2143;CH;SNOW_FLAT;BE;Western Alps
BEV1;Cho d'Valetta;9.85353374481201;46.5488548278809;2490;CH;WIND;GR;Eastern Alps
VAL1;Löita;8.61084747314453;46.549259185791;2450;CH;WIND;TI;Southern Alps
ELM2;Chüebodensee;9.13650035858154;46.9356079101563;2058;CH;SNOW_FLAT;GL;Eastern Alps
BED1;Lucendro;8.51946544647217;46.538890838623;2963;CH;WIND;TI;Southern Alps
FNH2;L'Ecreuleuse;6.96410369873047;46.100757598877;2252;CH;SNOW_FLAT;VS;Southern Alps
ELA1;Piz Salteras;9.7082347869873;46.5815277099609;3110;CH;WIND;GR;Eastern Alps
GOM3;Treichbode;8.22854995727539;46.489143371582;2427;CH;SNOW_FLAT;VS;Southern Alps
CHA2;Pierres Fendues;7.16398620605469;46.3769607543945;2218;CH;SNOW_FLAT;VD;Western Alps
TAM2;Wildsee;9.39092445373535;46.9683647155762;2468;CH;SNOW_FLAT;SG;Eastern Alps
VIN1;Piz Alpetta;10.4493160247803;46.9287872314453;2975;CH;WIND;GR;Eastern Alps
NEN1;Creppon Blanc;7.35402297973633;46.1431274414063;2713;CH;WIND;VS;Southern Alps
GAN1;Sackhorn;7.76624965667725;46.4396781921387;3193;CH;WIND;VS;Southern Alps
LAG3;Materdell;9.69777202606201;46.4245262145996;2300;CH;SNOW_FLAT;GR;Eastern Alps
FAE2;Färmel;7.49524927139282;46.5204124450684;1971;CH;SNOW_FLAT;BE;Western Alps
BOV2;Pointe de Toules;7.23720645904541;45.984790802002;2687;CH;SNOW_FLAT;VS;Southern Alps
VDS2;Donin du Jour;7.36750459671021;46.3215103149414;2385;CH;SNOW_FLAT;VS;Southern Alps
SAA1;Platthorn;7.86127328872681;46.1663436889648;3245;CH;WIND;VS;Southern Alps
MUO1;Wasserbergfirst;8.7868537902832;46.9393501281738;2325;CH;WIND;SZ;Central Alps
ELA3;Muot;9.76978778839111;46.6030349731445;2306;CH;FLOWCAPT;GR;Eastern Alps
OBW3;Mällige;8.35447788238525;46.5078620910645;2194;CH;SNOW_FLAT;VS;Southern Alps
HTR1;Chilchalphorn;9.15414428710938;46.5333518981934;3040;CH;WIND;GR;Eastern Alps
KLO2;Madrisa;9.87385845184326;46.9091148376465;2147;CH;SNOW_FLAT;GR;Eastern Alps
ZNZ1;Sarsura Pitschen;9.9976224899292;46.7042503356934;3133;CH;WIND;GR;Eastern Alps
SPN3;Wenghorn;8.04517459869385;46.1780128479004;2424;CH;SNOW_FLAT;VS;Southern Alps
TRU1;Schwarzhorn;7.57057905197144;46.3834457397461;3088;CH;WIND;VS;Southern Alps
YBR2;Wanne;8.82541656494141;47.035457611084;1701;CH;SNOW_FLAT;SZ;Central Alps
OFE2;Murtaröl;10.2890510559082;46.631706237793;2359;CH;SNOW_FLAT;GR;Eastern Alps
TUJ2;Culmatsch;8.72375106811523;46.6838798522949;2262;CH;SNOW_FLAT;GR;Eastern Alps
