municipality,canton,date,alpine_region,elevation_group,PCA1,PCA2,k_cluster
Langwies,GR,1998-01-04,Eastern Alps,3000,-0.8401590101337394,0.5808662890194217,3
Andermatt,UR,1998-01-04,Central Alps,3000,0.20051676249701197,1.1754512511294988,0
Davos,GR,1998-01-08,Eastern Alps,3000,-1.6345005229772127,-0.4129241674004577,3
Davos,GR,1998-01-09,Eastern Alps,3000,-1.440315369326088,-0.7240097606731549,2
Samedan,GR,1998-01-20,Eastern Alps,3000,1.2102990854745037,1.9231203111135082,0
Disentis/Mustér,GR,1998-01-21,Eastern Alps,2000,1.0247009259980704,2.1299905737658382,0
St. Moritz,GR,1998-01-24,Eastern Alps,3000,-0.7391833153746317,0.06900018366354939,2
Diemtigen,BE,1998-02-08,Western Alps,2000,-1.1753481373771046,-0.36325209252633195,3
Bedretto,TI,1998-02-14,Southern Alps,2000,-1.6812417925667646,-1.1280975093404653,3
Davos,GR,1998-03-09,Eastern Alps,3000,0.2666300642084542,-0.4367090920446384,2
Tavetsch/Tujetsch,GR,1998-03-13,Eastern Alps,3000,-0.32604895628345676,0.5921798712047556,2
Mollens,VS,1998-03-15,Southern Alps,3000,1.3096735317665515,2.4114467359733993,0
Klosters-Serneus,GR,1998-03-18,Eastern Alps,3000,-0.9728280837729262,-1.3067259023977544,3
Tavetsch/Tujetsch,GR,1998-03-24,Eastern Alps,3000,0.21548968399099058,1.0567305780073848,2
Bever,GR,1998-03-24,Eastern Alps,3000,0.0804140818155936,0.7053116414721232,2
Hinterrhein,GR,1998-03-25,Eastern Alps,3000,-0.19613192881839836,1.251356505089978,0
Davos,GR,1998-03-28,Eastern Alps,3000,-1.6410409661692535,-1.575204610603555,3
Davos,GR,1998-04-01,Eastern Alps,3000,-2.51327250123542,-0.4917144997849944,3
Davos,GR,1998-04-02,Eastern Alps,3000,-2.5066889991537744,-0.21613094354952958,3
Ayer,VS,1998-04-16,Southern Alps,4000,-1.1714456861075604,-0.4616347813316623,2
St. Antönien-Ascharina,GR,1998-04-18,Eastern Alps,3000,0.1187353876000763,0.3551437299122854,0
Reichenbach im Kandertal,BE,1998-10-04,Western Alps,4000,-1.7549930003639165,0.17603261723780272,3
Rougemont,VD,1998-11-28,Western Alps,3000,-0.07536565839653951,-0.0160839620899459,2
Evolène,VS,1998-12-10,Southern Alps,3000,-0.15886150121512008,0.30751408755056747,2
Davos,GR,1998-12-12,Eastern Alps,3000,-1.1360161090766756,-0.2793712074497477,3
Samnaun,GR,1998-12-12,Eastern Alps,3000,-0.5215460263163325,0.2088437101813014,2
Davos,GR,1998-12-31,Eastern Alps,3000,-0.9630579763060229,0.8221351485989556,3
Engelberg,OW,1998-12-31,Central Alps,2000,0.4254890229429413,3.927011403578907,0
Davos,GR,1998-12-31,Eastern Alps,3000,-1.2225794466361695,0.43740264301229037,3
Zermatt,VS,1999-01-01,Southern Alps,3000,-0.5142795680558904,1.204909566542596,2
Quinto,TI,1999-01-01,Southern Alps,3000,-1.3261149889689645,0.8641242021262467,3
Hospental / Andermatt,UR,1999-01-02,Central Alps,3000,-0.6865438907431259,0.11397688610865932,2
Andermatt,UR,1999-01-02,Central Alps,3000,-0.7050704655944051,0.21212662685672443,2
Realp,UR,1999-01-05,Central Alps,3000,-2.357777499236322,-0.2789787505872837,3
Grindelwald,BE,1999-01-06,Western Alps,3000,-2.2800880364796607,-0.8691075923007637,3
Lauterbrunnen,BE,1999-01-09,Western Alps,3000,1.0369463837042394,0.9956717929756839,4
Ormont-Dessus,VD,1999-01-10,Western Alps,3000,1.0621727888536654,0.5993486915330996,0
Zermatt,VS,1999-01-16,Southern Alps,2000,-0.5496487093102407,1.0018930535509407,0
Hospental,UR,1999-01-16,Central Alps,3000,-0.824030710058742,0.5782463144873694,3
Hospental,UR,1999-01-16,Central Alps,3000,-0.824030710058742,0.5782463144873694,3
Davos,GR,1999-01-17,Eastern Alps,3000,-1.028979414028012,0.13799745124732746,3
Susch,GR,1999-01-17,Eastern Alps,3000,-1.1180493404375387,-0.7030413217292905,3
Diemtigen,BE,1999-01-17,Western Alps,3000,-1.3022014084495304,0.320816576793552,3
Davos,GR,1999-01-18,Eastern Alps,3000,-1.1853428620346027,-0.06563113931304247,3
Lauterbrunnen,BE,1999-01-31,Western Alps,3000,2.2999791401952683,-0.4167399445775165,4
Davos,GR,1999-02-01,Eastern Alps,3000,0.3105889539921077,-0.2526433168641951,2
Andermatt,UR,1999-02-02,Central Alps,3000,-0.8495327989803507,0.7774488385885368,3
Andermatt,UR,1999-02-04,Central Alps,3000,-0.5333478280281209,2.0084773830401237,0
Lauterbrunnen,BE,1999-02-08,Western Alps,3000,6.405484798837794,1.0078229188869123,4
Bignasco,TI,1999-02-09,Southern Alps,2000,0.7863099615141603,-0.4427071378592959,2
Disentis/Mustér,GR,1999-02-10,Eastern Alps,3000,3.3773413951259608,0.7663257219207805,4
Davos,GR,1999-02-11,Eastern Alps,3000,1.7457353926977213,0.8328701473633788,2
Zermatt,VS,1999-02-11,Southern Alps,3000,2.2045364948009634,1.4059811947773189,2
Davos,GR,1999-02-15,Eastern Alps,2000,0.29556072381738535,-0.8310575928056109,2
Mulegns,GR,1999-02-18,Eastern Alps,2000,1.0087079983832872,1.2640655498656068,0
Saas-Fee,VS,1999-02-20,Southern Alps,4000,-0.48918118041451264,0.8396428141150626,0
Evolène,VS,1999-02-21,Southern Alps,3000,2.7861968439645572,0.7955457940960822,4
Evolène,VS,1999-02-21,Southern Alps,3000,2.7861968439645572,0.7955457940960822,4
Davos,GR,1999-02-22,Eastern Alps,2000,3.041070076344847,0.023269182536264966,4
Lungern,OW,1999-02-23,Central Alps,2000,5.53518695440405,-3.374293012755379,4
Leukerbad,VS,1999-02-25,Southern Alps,3000,10.703568615804507,-4.159038643551528,4
Davos,GR,1999-03-12,Eastern Alps,3000,-0.8055594962362215,-2.0143944929837234,1
Engelberg,OW,1999-03-24,Central Alps,2000,3.8889525237638494,-3.5620073890888024,4
Evolène,VS,1999-03-27,Southern Alps,3000,2.023125629827115,-1.7209482104363472,1
Davos,GR,1999-03-29,Eastern Alps,3000,0.3995940716622157,-1.4786609680567036,1
Saas-Fee,VS,1999-04-04,Southern Alps,3000,-0.9415726327994975,0.1190002526289448,3
St. Stephan,BE,1999-04-09,Western Alps,3000,1.222696940180939,-1.2249241939912479,1
Davos,GR,1999-04-10,Eastern Alps,3000,0.023174167570036666,-1.8748090829453827,1
Davos,GR,1999-04-17,Eastern Alps,3000,2.7596734556216225,-2.5739834641625756,4
Adelboden,BE,1999-04-25,Western Alps,3000,2.8754854877240934,-3.924831035433773,1
Randa,VS,1999-09-06,Southern Alps,5000,-2.612161103397935,0.06364083404111938,3
Bedretto,TI,1999-11-07,Southern Alps,3000,-0.4184500251959181,1.3631115799069173,2
Stampa,GR,1999-11-27,Eastern Alps,3000,-1.6808608077333493,-0.09095331999114646,3
Albinen,VS,1999-11-27,Southern Alps,3000,-1.6077496274818446,-0.03442273027629054,3
Davos,GR,1999-12-27,Eastern Alps,3000,1.549329831897996,2.098246590644611,0
Zermatt,VS,1999-12-28,Southern Alps,3000,2.406817435506328,2.4118672782319646,0
Davos,GR,1999-12-30,Eastern Alps,3000,2.0773083749388057,-0.062062699519688465,4
Davos,GR,2000-01-01,Eastern Alps,3000,-0.23606012051466949,0.40308762159241945,2
Andermatt,UR,2000-01-02,Central Alps,3000,-0.6112641854827431,1.2030153674062456,0
St. Stephan,BE,2000-01-15,Western Alps,3000,-0.8933985372416564,-0.2603724296010136,3
Château-d’Œx,VD,2000-01-23,Western Alps,2000,-0.4061607738546455,0.5332295820672747,2
Langwies,GR,2000-01-24,Eastern Alps,3000,1.6810526812828028,0.5144079947689172,2
Lauterbrunnen,BE,2000-01-24,Western Alps,2000,3.386340591209431,-1.3101350490583905,4
Andermatt,UR,2000-01-25,Central Alps,3000,0.41939022430496253,0.5285753320809113,2
Andermatt,UR,2000-01-27,Central Alps,3000,-1.3529920948363265,0.16153032490525152,3
Arosa / Wiesen,GR,2000-01-28,Eastern Alps,3000,-0.44366151004729554,-0.022559058201234976,2
Adelboden,BE,2000-01-30,Western Alps,2000,-0.33103752100584954,0.35251464272192967,0
Andermatt,UR,2000-01-31,Central Alps,3000,0.34688099253852184,0.4553175831110875,4
La Punt,GR,2000-01-31,Eastern Alps,3000,1.6087514876999458,1.0147000949940945,4
Andermatt,UR,2000-01-31,Central Alps,3000,0.527017179968691,0.7316826476675772,0
Davos,GR,2000-01-31,Eastern Alps,3000,0.53409395973149,-1.1594950110021758,4
Davos,GR,2000-01-31,Eastern Alps,3000,0.6927545592769633,-0.25687301764658554,4
Langwies,GR,2000-02-01,Eastern Alps,3000,-1.0373186476726999,-1.5138935406185219,3
Medel (Lucmagn),GR,2000-02-02,Eastern Alps,3000,-1.3359461814440288,0.03604886480139626,3
