t-SNE1,t-SNE2,k_cluster,municipality,canton,date,alpine_region,elevation_group
-3.0060232,-1.9064274,3,Langwies,GR,1998-01-04,Eastern Alps,3000
-4.520388,-0.77118033,0,Andermatt,UR,1998-01-04,Central Alps,3000
-3.2288253,-4.405396,3,Davos,GR,1998-01-08,Eastern Alps,3000
-4.202659,-2.6877425,2,Davos,GR,1998-01-09,Eastern Alps,3000
-5.0433965,-0.37196746,0,Samedan,GR,1998-01-20,Eastern Alps,3000
-5.0494156,-0.8070064,0,Disentis/Mustér,GR,1998-01-21,Eastern Alps,2000
-5.117363,-1.5331904,2,St. Moritz,GR,1998-01-24,Eastern Alps,3000
-3.857291,-2.0090582,3,Diemtigen,BE,1998-02-08,Western Alps,2000
-0.1836857,3.4622738,3,Bedretto,TI,1998-02-14,Southern Alps,2000
-5.603841,-0.31320256,2,Davos,GR,1998-03-09,Eastern Alps,3000
-5.836081,-1.7650591,2,Tavetsch/Tujetsch,GR,1998-03-13,Eastern Alps,3000
-4.150314,1.2019957,0,Mollens,VS,1998-03-15,Southern Alps,3000
-2.1046548,1.8703337,3,Klosters-Serneus,GR,1998-03-18,Eastern Alps,3000
-6.175892,-1.9445308,2,Tavetsch/Tujetsch,GR,1998-03-24,Eastern Alps,3000
-6.0105515,-1.4438512,2,Bever,GR,1998-03-24,Eastern Alps,3000
-4.7695913,-1.0381199,0,Hinterrhein,GR,1998-03-25,Eastern Alps,3000
-0.6681648,3.5626268,3,Davos,GR,1998-03-28,Eastern Alps,3000
2.281839,-1.720613,3,Davos,GR,1998-04-01,Eastern Alps,3000
3.23165,-2.1519673,3,Davos,GR,1998-04-02,Eastern Alps,3000
-4.3048296,-2.7142892,2,Ayer,VS,1998-04-16,Southern Alps,4000
-4.996596,0.4697376,0,St. Antönien-Ascharina,GR,1998-04-18,Eastern Alps,3000
-1.470602,-4.640752,3,Reichenbach im Kandertal,BE,1998-10-04,Western Alps,4000
-5.066016,-1.196583,2,Rougemont,VD,1998-11-28,Western Alps,3000
-5.4513044,-1.9483262,2,Evolène,VS,1998-12-10,Southern Alps,3000
-2.7777936,-1.4676911,3,Davos,GR,1998-12-12,Eastern Alps,3000
-4.9240704,-1.888435,2,Samnaun,GR,1998-12-12,Eastern Alps,3000
-3.1471863,-1.8263797,3,Davos,GR,1998-12-31,Eastern Alps,3000
-3.237368,0.60930616,0,Engelberg,OW,1998-12-31,Central Alps,2000
-2.7325299,-2.3895962,3,Davos,GR,1998-12-31,Eastern Alps,3000
-5.3679485,-2.2703583,2,Zermatt,VS,1999-01-01,Southern Alps,3000
-3.0753186,-3.951177,3,Quinto,TI,1999-01-01,Southern Alps,3000
-4.5535164,-2.8820283,2,Hospental / Andermatt,UR,1999-01-02,Central Alps,3000
-4.321748,-2.678504,2,Andermatt,UR,1999-01-02,Central Alps,3000
2.250073,-1.5409502,3,Realp,UR,1999-01-05,Central Alps,3000
1.868538,2.350097,3,Grindelwald,BE,1999-01-06,Western Alps,3000
-5.350845,-0.38269058,4,Lauterbrunnen,BE,1999-01-09,Western Alps,3000
-5.3366785,0.34434465,0,Ormont-Dessus,VD,1999-01-10,Western Alps,3000
-3.110547,-0.41913474,0,Zermatt,VS,1999-01-16,Southern Alps,2000
-4.0326633,-2.0087802,3,Hospental,UR,1999-01-16,Central Alps,3000
-4.0367503,-2.0086803,3,Hospental,UR,1999-01-16,Central Alps,3000
-3.1197793,-1.1890479,3,Davos,GR,1999-01-17,Eastern Alps,3000
-2.7765756,0.4701102,3,Susch,GR,1999-01-17,Eastern Alps,3000
-1.2364502,0.26970938,3,Diemtigen,BE,1999-01-17,Western Alps,3000
-3.025171,-1.7070508,3,Davos,GR,1999-01-18,Eastern Alps,3000
-6.2234755,0.9047382,4,Lauterbrunnen,BE,1999-01-31,Western Alps,3000
-6.6165123,-0.69818264,2,Davos,GR,1999-02-01,Eastern Alps,3000
-3.1634603,-1.1908045,3,Andermatt,UR,1999-02-02,Central Alps,3000
-2.8881161,-0.03782931,0,Andermatt,UR,1999-02-04,Central Alps,3000
-6.4797263,1.4690084,4,Lauterbrunnen,BE,1999-02-08,Western Alps,3000
-6.1286883,0.19652024,2,Bignasco,TI,1999-02-09,Southern Alps,2000
-6.0704,0.82558763,4,Disentis/Mustér,GR,1999-02-10,Eastern Alps,3000
-6.281931,-0.076234564,2,Davos,GR,1999-02-11,Eastern Alps,3000
-6.2371545,0.10133284,2,Zermatt,VS,1999-02-11,Southern Alps,3000
-6.2365336,0.85866034,2,Davos,GR,1999-02-15,Eastern Alps,2000
-5.2691507,-0.4042649,0,Mulegns,GR,1999-02-18,Eastern Alps,2000
-4.0369964,-1.4362636,0,Saas-Fee,VS,1999-02-20,Southern Alps,4000
-5.5825534,1.279901,4,Evolène,VS,1999-02-21,Southern Alps,3000
-5.5825534,1.279901,4,Evolène,VS,1999-02-21,Southern Alps,3000
-5.9331627,1.8858188,4,Davos,GR,1999-02-22,Eastern Alps,2000
-6.6567073,1.9227892,4,Lungern,OW,1999-02-23,Central Alps,2000
-6.746198,1.6862516,4,Leukerbad,VS,1999-02-25,Southern Alps,3000
-3.1665452,4.5586705,1,Davos,GR,1999-03-12,Eastern Alps,3000
-6.216009,2.9533432,4,Engelberg,OW,1999-03-24,Central Alps,2000
-5.997086,3.2100096,1,Evolène,VS,1999-03-27,Southern Alps,3000
-5.6582804,2.7966352,1,Davos,GR,1999-03-29,Eastern Alps,3000
-2.5344331,0.33994642,3,Saas-Fee,VS,1999-04-04,Southern Alps,3000
-5.419572,2.4288309,1,St. Stephan,BE,1999-04-09,Western Alps,3000
-4.9413023,3.9655514,1,Davos,GR,1999-04-10,Eastern Alps,3000
-6.3911824,2.0555632,4,Davos,GR,1999-04-17,Eastern Alps,3000
-5.761872,4.0631185,1,Adelboden,BE,1999-04-25,Western Alps,3000
2.7972608,-4.5646033,3,Randa,VS,1999-09-06,Southern Alps,5000
-3.937312,-2.0906403,2,Bedretto,TI,1999-11-07,Southern Alps,3000
-1.7064213,-3.263845,3,Stampa,GR,1999-11-27,Eastern Alps,3000
-2.381832,-3.6243184,3,Albinen,VS,1999-11-27,Southern Alps,3000
-4.8562455,0.062229265,0,Davos,GR,1999-12-27,Eastern Alps,3000
-5.0622396,0.008366418,0,Zermatt,VS,1999-12-28,Southern Alps,3000
-6.1875544,0.47225136,4,Davos,GR,1999-12-30,Eastern Alps,3000
-5.921958,-1.2782515,2,Davos,GR,2000-01-01,Eastern Alps,3000
-4.1858444,-1.6596342,0,Andermatt,UR,2000-01-02,Central Alps,3000
-2.7625573,1.0937027,3,St. Stephan,BE,2000-01-15,Western Alps,3000
-6.2054543,-2.5342407,2,Château-d’Œx,VD,2000-01-23,Western Alps,2000
-6.09186,-0.08738377,2,Langwies,GR,2000-01-24,Eastern Alps,3000
-6.579626,1.0853895,4,Lauterbrunnen,BE,2000-01-24,Western Alps,2000
-6.290857,-1.8632401,2,Andermatt,UR,2000-01-25,Central Alps,3000
-2.962375,-2.9303606,3,Andermatt,UR,2000-01-27,Central Alps,3000
-6.108059,-1.3110834,2,Arosa / Wiesen,GR,2000-01-28,Eastern Alps,3000
-3.6582398,1.2857219,0,Adelboden,BE,2000-01-30,Western Alps,2000
-4.093745,0.16601919,4,Andermatt,UR,2000-01-31,Central Alps,3000
-5.333297,0.7579966,4,La Punt,GR,2000-01-31,Eastern Alps,3000
-4.2946153,0.2559834,0,Andermatt,UR,2000-01-31,Central Alps,3000
-4.8736973,1.3141423,4,Davos,GR,2000-01-31,Eastern Alps,3000
-4.7219734,0.79311556,4,Davos,GR,2000-01-31,Eastern Alps,3000
-1.8616705,2.7807107,3,Langwies,GR,2000-02-01,Eastern Alps,3000
-1.6502025,-1.3176728,3,Medel (Lucmagn),GR,2000-02-02,Eastern Alps,3000
-4.073405,-0.90809816,0,Andermatt,UR,2000-02-03,Central Alps,3000
-2.8308918,4.278303,1,Finhaut,VS,2000-02-05,Southern Alps,2000
-3.4841766,1.571491,3,Langwies,GR,2000-02-07,Eastern Alps,3000
-4.7998824,0.30989334,0,Zermatt,VS,2000-02-10,Southern Alps,3000
-5.688417,0.187314,4,Samnaun,GR,2000-02-10,Eastern Alps,3000
-5.865747,1.0765992,4,Langwies,GR,2000-02-10,Eastern Alps,3000
-5.962866,0.015512698,2,Davos,GR,2000-02-12,Eastern Alps,3000
-4.2031,2.3214633,1,Grindelwald,BE,2000-02-13,Western Alps,3000
-4.805114,0.83839387,1,Davos,GR,2000-02-15,Eastern Alps,3000
-5.717105,0.025142511,0,Davos,GR,2000-02-16,Eastern Alps,3000
-6.49128,1.2165699,4,Andermatt,UR,2000-02-20,Central Alps,3000
-6.3326855,1.5842263,4,Davos,GR,2000-02-21,Eastern Alps,3000
-6.3326855,1.5842263,4,Davos,GR,2000-02-21,Eastern Alps,3000
-5.941575,0.69064933,2,Zermatt,VS,2000-02-21,Southern Alps,3000
-5.900581,-0.3139686,2,Andermatt,UR,2000-02-21,Central Alps,3000
-6.3964534,1.6704822,4,Davos,GR,2000-02-21,Eastern Alps,3000
-5.7961526,3.1390295,1,Flühli,LU,2000-02-22,Central Alps,3000
-5.9685283,2.238427,1,Klosters-Serneus,GR,2000-02-22,Eastern Alps,3000
-2.0856292,0.5485784,3,Avers,GR,2000-02-25,Eastern Alps,4000
-5.629411,0.92057806,2,Davos,GR,2000-02-26,Eastern Alps,3000
-2.648891,2.29348,3,Frutigen,BE,2000-02-26,Western Alps,3000
-2.191255,3.6501951,3,Diemtigen,BE,2000-02-27,Western Alps,3000
-3.1199987,4.4475613,1,Lenk,BE,2000-02-27,Western Alps,3000
-1.9094949,3.465912,3,Adelboden,BE,2000-02-27,Western Alps,3000
-5.3163004,3.2400632,1,Klosters-Serneus,GR,2000-03-01,Eastern Alps,3000
-6.063902,1.5571258,4,Adelboden,BE,2000-03-02,Western Alps,2000
-4.51512,0.70569247,0,Evolène,VS,2000-03-03,Southern Alps,3000
-5.538162,1.746139,1,Davos,GR,2000-04-02,Eastern Alps,3000
-3.8273559,3.1673236,1,Kandersteg,BE,2000-04-02,Western Alps,3000
-4.749771,3.7014904,1,Langwies,GR,2000-04-08,Eastern Alps,3000
-4.922817,2.0814576,1,Davos,GR,2000-04-14,Eastern Alps,3000
-4.032931,3.7082777,1,Davos,GR,2000-04-20,Eastern Alps,3000
-3.2931042,3.7839582,1,Davos,GR,2000-04-23,Eastern Alps,3000
4.6788864,5.4126673,3,Gadmen,BE,2000-09-09,Western Alps,3000
-4.319764,-2.7394686,2,Andermatt,UR,2000-11-11,Central Alps,3000
-5.587428,1.0026727,4,Silvaplana,GR,2000-11-19,Eastern Alps,4000
-1.8731455,-0.47491604,3,Langwies,GR,2000-12-08,Eastern Alps,3000
-4.830241,2.3704731,1,Bedretto,TI,2000-12-10,Southern Alps,3000
-5.7905126,-0.010601082,2,Bedretto,TI,2000-12-17,Southern Alps,3000
-4.5155454,0.12718049,2,Oberwald,VS,2000-12-23,Southern Alps,3000
-4.464677,0.64207685,0,Ponto Valentino,TI,2000-12-28,Southern Alps,3000
-4.326606,-3.796068,2,Château-d’Œx,VD,2000-12-28,Western Alps,3000
-5.5948973,-2.0678883,2,Medel (Lucmagn),GR,2000-12-29,Eastern Alps,3000
-3.1391098,0.09036655,0,Lavey-Morcles,VD,2001-01-01,Western Alps,2000
-1.8170985,-0.20138302,3,Fideris,GR,2001-01-06,Eastern Alps,3000
-3.4880786,-0.6815629,0,Davos,GR,2001-01-07,Eastern Alps,3000
-5.8162675,0.06650528,4,Langwies,GR,2001-01-09,Eastern Alps,3000
-4.817135,-0.32605633,2,Klosters-Serneus,GR,2001-01-10,Eastern Alps,3000
-5.544563,1.7173467,1,Celerina/Schlarigna,GR,2001-01-13,Eastern Alps,3000
-5.6997995,1.4354478,1,Simplon,VS,2001-01-13,Southern Alps,3000
-4.064466,-1.5061913,2,Chandolin,VS,2001-01-13,Southern Alps,3000
-4.8543515,0.47730422,0,Adelboden,BE,2001-01-14,Western Alps,3000
-4.794117,-0.45292148,0,Davos,GR,2001-01-14,Eastern Alps,3000
-3.9944694,-1.2929034,3,Klosters-Serneus,GR,2001-01-14,Eastern Alps,3000
-6.098639,1.75206,1,Pontresina,GR,2001-01-14,Eastern Alps,3000
-6.0919585,-2.0553913,2,Blitzingen,VS,2001-01-16,Southern Alps,3000
-4.3671775,-2.7625372,2,Reichenbach im Kandertal,BE,2001-01-21,Western Alps,3000
-5.644726,-0.03277613,0,Albinen,VS,2001-01-27,Southern Alps,3000
-4.8488827,-0.05268156,2,Gsteig,BE,2001-01-28,Western Alps,2000
-6.290668,-1.0650221,2,Andermatt,UR,2001-01-31,Central Alps,3000
-5.437231,1.8882846,1,Samedan,GR,2001-02-03,Eastern Alps,3000
-4.2470784,-1.0752395,0,Ayer,VS,2001-02-03,Southern Alps,3000
-4.2470784,-1.0752395,0,Ayer,VS,2001-02-03,Southern Alps,3000
-4.9770913,0.7169434,0,Bosco Gurin,TI,2001-02-03,Southern Alps,3000
-5.8443065,2.0832627,1,Silvaplana,GR,2001-02-03,Eastern Alps,3000
-5.983723,1.2395079,4,Zermatt,VS,2001-02-04,Southern Alps,3000
-4.7480907,0.28060222,0,Samnaun,GR,2001-02-04,Eastern Alps,3000
-5.2618375,1.7014366,4,Fully,VS,2001-02-04,Southern Alps,3000
-3.2130046,0.052568287,0,Giswil,OW,2001-02-04,Central Alps,3000
-5.976636,1.2397147,4,Zermatt,VS,2001-02-04,Southern Alps,3000
-4.5781198,0.6323804,4,Wolfenschiessen,NW,2001-02-04,Central Alps,3000
-5.320211,1.0042387,4,Leukerbad,VS,2001-02-04,Southern Alps,3000
-3.2279608,0.6158485,3,Davos,GR,2001-02-04,Eastern Alps,3000
-5.187929,0.56820524,4,Disentis/Mustér,GR,2001-02-05,Eastern Alps,3000
-6.189046,1.2542888,4,Lauterbrunnen,BE,2001-02-05,Western Alps,3000
-5.335973,1.5627985,4,Trient,VS,2001-02-06,Southern Alps,3000
-3.4893596,0.70067596,0,Lenk,BE,2001-02-08,Western Alps,3000
-5.9350376,2.2345014,1,Celerina/Schlarigna,GR,2001-02-10,Eastern Alps,3000
-4.59617,-3.7471526,2,Visperterminen,VS,2001-02-10,Southern Alps,3000
-2.7361794,2.778513,3,Bedretto,TI,2001-02-11,Southern Alps,3000
-3.2493103,-1.2900013,0,Saas-Fee,VS,2001-02-13,Southern Alps,3000
-2.1610382,2.201421,3,Davos,GR,2001-02-15,Eastern Alps,3000
-4.9787617,-0.42700183,0,Mühlebach,VS,2001-02-23,Southern Alps,3000
-6.225637,1.1462132,4,Molinis,GR,2001-02-25,Eastern Alps,3000
-6.1509914,0.3860647,2,Simplon,VS,2001-02-25,Southern Alps,3000
-6.1807704,-0.08448123,2,Klosters-Serneus,GR,2001-02-25,Eastern Alps,3000
-6.339337,-0.99428296,2,Kandersteg,BE,2001-02-28,Western Alps,3000
-3.4901636,0.46637636,0,Val d’Illiez,VS,2001-03-04,Southern Alps,3000
-5.177449,2.7561617,1,Celerina/Schlarigna,GR,2001-03-05,Eastern Alps,3000
-4.5039334,1.423742,0,Simplon,VS,2001-03-13,Southern Alps,3000
-5.314409,0.8796279,4,Langwies,GR,2001-03-14,Eastern Alps,3000
-5.7012696,3.9795384,1,Poschiavo,GR,2001-03-20,Eastern Alps,3000
-5.23279,3.7041938,1,Poschiavo,GR,2001-03-20,Eastern Alps,3000
-5.0817084,4.275545,1,Prato,TI,2001-03-21,Southern Alps,3000
-2.6132216,2.3926566,3,Andermatt,UR,2001-03-24,Central Alps,2000
-3.4043455,-0.07860221,0,Medel (Lucmagn),GR,2001-03-29,Eastern Alps,3000
-5.610534,1.7279395,1,Bedretto,TI,2001-04-22,Southern Alps,3000
-5.7339664,2.2922854,1,Celerina/Schlarigna,GR,2001-04-22,Eastern Alps,3000
-5.10302,3.7039065,1,Hérémence,VS,2001-04-27,Southern Alps,3000
-3.4329376,4.238068,1,Pontresina,GR,2001-05-19,Eastern Alps,4000
-5.9827995,-2.69564,2,Adelboden,BE,2001-12-15,Western Alps,3000
-6.1334677,-2.3159485,2,Davos,GR,2001-12-24,Eastern Alps,3000
-5.0708413,-1.6948699,0,Binn,VS,2001-12-27,Southern Alps,3000
-5.429856,-0.9416734,0,Langwies,GR,2001-12-27,Eastern Alps,3000
-4.2642775,-2.3411198,2,Klosters-Serneus,GR,2001-12-28,Eastern Alps,3000
-2.9227517,-0.48862708,0,Val d'Illiez,VS,2001-12-29,Southern Alps,2000
-5.707535,0.30902585,4,Hasliberg,BE,2001-12-30,Western Alps,2000
-5.9780464,0.86155367,4,Engelberg,OW,2001-12-30,Central Alps,3000
-5.258073,-1.1782875,2,Langwies,GR,2001-12-30,Eastern Alps,3000
-5.709771,0.3098813,4,Hasliberg,BE,2001-12-30,Western Alps,2000
-6.136721,-1.3968475,2,Klosters-Serneus,GR,2001-12-31,Eastern Alps,3000
-5.9506865,-0.22662084,4,Bex,VD,2001-12-31,Western Alps,3000
-6.211517,-2.137371,2,Zuoz,GR,2002-01-01,Eastern Alps,3000
-6.40205,-2.3940248,2,Davos,GR,2002-01-01,Eastern Alps,3000
