date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried,air_temp_mean_stations,wind_speed_mean_stations,wind_speed_max_stations,snow_surf_temp_mean_stations,snow_ground_temp_mean_stations,snow_height_mean_stations,new_snow_mean_stations,alpine_region,region_id,elevation_group,k_cluster,risk_group
1998-01-04,GR,Langwies,46.8250694274902,9.7903528213501,2500.0,0,1,0,-3.87291669845581,1.42916667461395,11.8999996185303,-11.8687496185303,,79.66666666666667,4.2500001192092896,Eastern Alps,4,3000,3,1 - very low
1998-01-04,UR,Andermatt,46.6171035766602,8.61688899993896,2400.0,1,2,1,-7.047916591167457,4.382500088214874,16.240000343322766,-14.32187461853025,-0.0229166746139524,99.0,10.1000003814697,Central Alps,2,3000,0,3 - moderate
1998-01-08,GR,Davos,46.7334213256836,9.81789875030518,2560.0,0,1,0,-5.33333349227905,0.493478268384933,2.5,-17.8979167938232,,50.0,1.79999995231628,Eastern Alps,4,3000,3,1 - very low
1998-01-09,GR,Davos,46.7830505371094,9.77449989318848,2440.0,0,1,0,-6.02500009536743,0.259999990463257,2.0,-20.7000007629395,,86.66666666666667,0.0,Eastern Alps,4,3000,2,2 - low
1998-01-20,GR,Samedan,46.5447959899902,9.84742641448975,2435.0,1,1,1,-13.457638740539569,5.399305582046517,20.133333524068167,-15.57395792007445,-0.3500000089406965,126.5,9.799999713897684,Eastern Alps,4,3000,0,3 - moderate
1998-01-21,GR,Disentis/Mustér,46.7170181274414,8.81332111358643,1930.0,0,1,0,-13.727083841959631,6.391666730244953,19.2333335876465,-11.62500000000002,-0.199999999254942,84.0,12.3999996185303,Eastern Alps,4,2000,0,3 - moderate
1998-01-24,GR,St. Moritz,46.504768371582,9.78634166717529,2950.0,0,2,0,-7.274999856948851,2.47368413209915,8.450000047683716,-15.5736837387085,-0.42368420958519,113.5,0.0,Eastern Alps,4,3000,2,2 - low
1998-02-08,BE,Diemtigen,46.5399894714355,7.45362901687622,1950.0,0,1,0,-5.42638882001241,2.1333333651224766,5.566666762034096,-15.59374952316285,0.020833333954215,101.0,0.0,Western Alps,1,2000,3,1 - very low
1998-02-14,TI,Bedretto,46.4906005859375,8.46994304656982,1880.0,0,1,0,5.08854150772095,2.4937499463558206,7.600000143051145,-10.9020833969116,0.0,148.0,0.0,Southern Alps,3,2000,3,1 - very low
1998-03-09,GR,Davos,46.8283882141113,9.81252670288086,2480.0,0,1,0,-8.664583444595316,1.53854161500931,6.649999856948855,-11.8291664123535,0.200000002980232,130.25,14.7000001271566,Eastern Alps,4,3000,2,2 - low
