t-SNE1,t-SNE2,k_cluster
-0.5437331,0.18478373,3
0.3834531,0.42828396,0
-0.9291529,0.22133143,3
-0.89674246,0.24669221,2
0.5860226,0.55270356,0
0.56933576,0.5716034,0
-0.58742934,0.2975944,2
-0.86142707,0.17952028,3
-0.92661905,-0.7522719,3
0.20845456,0.14422086,2
-0.22502007,0.5832798,2
0.79284406,0.34182844,0
-0.703521,-0.6040235,3
0.019430606,0.79880023,2
-0.029194068,0.702013,2
0.21935195,0.54230917,0
-0.8971782,-0.7615561,3
-1.169743,-0.5773583,3
-1.1664186,-0.57807887,3
-0.8019187,0.32310647,2
0.17724779,0.13088594,0
-1.0591162,-0.07733933,3
0.053685118,0.2367873,2
-0.08661319,0.4668372,2
-0.88689506,0.025556723,3
-0.53370214,0.35556832,2
-0.49568412,0.26692238,3
0.7532867,0.48431993,0
-0.80533355,0.09960456,3
-0.10956869,0.7166588,2
-0.83046067,0.21879669,3
-0.44592977,0.39527202,2
-0.4667896,0.32257485,2
-1.1537381,-0.575682,3
-1.1111611,-0.67052704,3
0.81963766,0.21762222,4
0.7548032,0.14780678,0
0.00695136,0.20744926,0
-0.55375,0.30413082,3
-0.55375,0.30413082,3
-0.70766723,0.039607096,3
-0.75448996,-0.28786325,3
-0.6532874,-0.2840171,3
-0.8781867,0.07452886,3
0.8008694,0.07093247,4
-0.009071931,0.55900455,2
-0.38510305,0.19552974,3
0.56216365,0.4333923,0
1.1882126,-0.07168694,4
0.37555438,0.16441461,2
0.97297937,0.101576105,4
0.3270321,0.6280964,2
0.37986445,0.5945664,2
0.113269106,-0.01411362,2
0.57430995,0.4704968,0
-0.23203681,0.36132407,0
1.0491745,-0.033884786,4
1.0491745,-0.033884786,4
0.97785276,-0.13840348,4
1.1395748,-0.15910904,4
1.1790231,-0.14118962,4
-0.22883603,-0.8687385,1
0.7686063,-0.5218732,4
0.5694562,-0.58212316,1
0.2571849,-0.5342694,1
-0.5775537,-0.1508778,3
0.6326822,-0.45264268,1
0.14691359,-0.75958467,1
0.94896847,-0.24776174,4
0.57871044,-0.6868859,1
-1.1639427,-0.48340714,3
-0.21271059,0.43787396,2
-1.0653318,-0.10029423,3
-1.0416012,-0.032553356,3
0.829711,0.3375772,0
0.9125115,0.28161415,0
0.8072489,0.14091931,4
-0.17989103,0.5155911,2
0.011479733,0.5117427,0
-0.5940361,-0.44939476,3
-0.34060726,0.7507107,2
0.5366359,0.43489927,2
1.1403093,-0.078466475,4
0.016704056,0.7446913,2
-0.9196008,0.10776179,3
-0.3241514,0.5083886,2
0.18908948,-0.12804593,0
0.68699884,-0.040273413,4
1.0261862,0.00877568,4
0.7466993,-0.0005539017,0
0.58695036,-0.24096304,4
0.70565546,-0.09310937,4
-0.6834512,-0.68830776,3
-0.8992699,-0.1711906,3
0.33051884,0.5060355,0
-0.31071818,-0.8561732,1
-0.47308457,-0.45716956,3
0.67680895,0.08320262,0
0.95297194,0.09383297,4
0.94107324,-0.081240244,4
-0.11465691,0.25706148,2
0.035415478,-0.5521136,1
0.14673881,-0.116511464,1
0.30931953,0.36533043,0
1.156822,-0.056118254,4
0.95310533,-0.1346916,4
0.95310533,-0.1346916,4
0.524642,-0.0038674963,2
0.2947397,0.43425417,2
0.997994,-0.15574078,4
0.42461175,-0.56079787,1
0.40677264,-0.3951828,1
-0.76742435,-0.41025504,3
-0.083647564,-0.17871647,2
-0.5158338,-0.61338234,3
-0.45579123,-0.78656954,3
-0.23188089,-0.8650814,1
-0.51701844,-0.77322215,3
0.286836,-0.64932066,1
0.9292999,-0.08149171,4
0.5065191,0.084490195,0
0.30669364,-0.27861813,1
0.21669984,-0.62445694,1
0.10563514,-0.72990483,1
0.65390056,-0.33449578,1
0.02099651,-0.7404155,1
0.20547636,-0.6149742,1
-1.1926317,-0.64187694,3
-0.7107372,0.36807787,2
0.79169077,-0.13147636,4
-0.48256418,-0.13175131,3
0.28921598,-0.4493662,1
-0.061686054,0.11409431,2
-0.5141593,-0.05169257,2
0.35495612,0.11067904,0
-0.75859296,0.39999852,2
-0.03503247,0.7581598,2
0.41939843,0.26821074,0
-0.46691385,-0.14201148,3
0.031704288,0.25529152,0
0.65978956,0.10711598,4
-0.1603031,0.14513892,2
0.0223326,-0.35065666,1
0.032091096,-0.2973251,1
-0.7311197,0.21118994,2
0.19176742,0.07349759,0
0.24242236,0.40498388,0
-0.6505629,0.14619464,3
0.17183499,-0.26308057,1
-0.37871376,0.62403715,2
-0.7075303,0.38140506,2
0.41230446,0.46445096,0
0.25857943,0.06953092,2
-0.013493056,0.6402755,2
0.39731795,-0.2243519,1
0.28945082,0.5594377,0
0.28971955,0.5593816,0
0.3423748,0.19973251,0
0.23549968,-0.38424772,1
1.0707914,-0.06536958,4
0.7329595,0.092086494,0
0.77210087,-0.18589662,4
0.22910112,0.014471677,0
1.070864,-0.065402046,4
0.5774076,-0.16512045,4
0.909176,-0.0367981,4
-0.22451234,-0.1742519,3
0.91293746,0.055043086,4
1.1549512,-0.03941989,4
0.96989065,-0.09977773,4
0.68273544,0.34671664,0
0.5994342,-0.36734354,1
-0.7854131,0.4076863,2
-0.39029202,-0.71948546,3
0.13373771,0.4791646,0
-0.5994391,-0.6247039,3
0.1379762,0.28489327,0
0.69576937,0.060709573,4
0.3866279,0.43695885,2
0.5140891,0.18288513,2
0.03981452,0.67061067,2
0.63111526,0.34337786,0
0.34391353,-0.5638264,1
0.77335554,0.23792152,0
0.704374,-0.09619633,4
0.46273932,-0.7315659,1
0.3016008,-0.7215451,1
0.3181038,-0.80577177,1
0.053036507,-0.5072478,3
0.5715322,0.4519552,0
0.28665182,-0.26977402,1
0.5509911,-0.33341008,1
0.27476528,-0.7442851,1
-0.07151182,-0.8326764,1
-0.38439158,0.7295616,2
-0.16230477,0.6971589,2
0.2683691,0.7798798,0
0.52687776,0.5749377,0
-0.6547964,0.3375042,2
0.537118,0.4873846,0
0.9803215,0.14870614,4
1.1086373,-0.01374066,4
0.36734474,0.5282702,2
0.9803215,0.14870614,4
0.29227617,0.6282104,2
0.7270021,0.32802045,4
0.009717638,0.83183503,2
-0.10458823,0.8242731,2
-0.5958887,0.5282137,2
-0.563531,0.34067667,2
-0.5421647,0.6007777,2
-1.0547738,-0.15816362,3
-0.7203258,0.15075153,2
-0.7636551,0.31955856,2
-0.8502436,0.30985326,2
-0.67301184,0.5344875,2
-0.7784668,0.30560014,2
-0.73807955,0.2981604,2
-0.9907908,-0.2593023,3
-0.3361583,-0.56133056,3
0.40155163,0.63126254,0
-0.441178,0.5479265,2
0.56679183,0.39272448,0
-0.96363133,-0.30588388,3
-1.0343337,-0.40217495,3
-0.39219874,0.12857914,3
-0.5331158,-0.47518495,3
0.74451935,0.20980535,4
0.95701385,-0.10103012,4
0.7741399,0.15996556,0
0.7664343,0.11567584,4
-0.20188509,0.4410401,0
-0.16728158,-0.7955645,1
0.16928643,-0.6060856,1
-1.076484,-0.3445729,3
0.8004,-0.13537756,4
0.024294,-0.8599477,1
-0.9504108,-0.05777907,3
-0.28042403,-0.5959912,3
0.35160902,-0.44181478,1
-0.9656366,-0.06098124,3
-0.07113005,-0.14355892,3
0.124624036,-0.19123921,1
0.0696013,-0.23624106,1
-1.1838628,-0.59718287,3
-0.5773072,-0.11454031,3
0.13835576,-0.2164716,1
-0.08257222,-0.5221621,1
0.54216367,-0.41475707,1
-0.14527325,-0.480822,3
0.036137592,-0.5636782,3
-0.91887116,-0.64967245,3
-1.0541754,-0.32309827,3
0.6218837,0.34493235,0
0.46717885,0.02821383,0
-0.5753964,-0.13886827,3
0.5074933,0.060590174,0
0.3816311,0.04021481,0
-0.11760963,0.015473046,3
0.7649834,-0.069775194,0
0.5835805,-0.38106844,1
0.6566514,0.41168773,0
0.37218347,0.4112091,0
0.6915237,0.003235492,0
0.5311343,-0.046605624,0
0.71606636,0.24890122,0
0.36347044,-0.43401533,1
-0.6707185,-0.26243764,3
0.28861123,-0.46795008,1
-0.9339621,0.030246284,3
0.608587,-0.076787844,0
0.31634918,-0.5389421,1
0.34375602,0.19282095,2
-0.11894236,0.678017,2
-0.0957777,0.668012,2
-0.24471849,0.7124004,2
-0.43782893,0.32180205,2
-0.1200291,-0.62780094,1
-0.47081006,-0.7243289,3
0.24059565,-0.3933819,1
0.08956217,-0.36014053,1
-0.47535303,0.36848718,2
-0.098060645,-0.60554975,1
0.71114177,-0.15876886,1
0.08605737,-0.0033890738,1
0.40695444,0.019929126,1
1.1240048,-0.10730148,4
0.97552973,-0.039973184,4
-0.20356673,0.647035,2
0.6193762,0.50354505,0
0.32964242,0.379771,2
0.619283,0.50363183,0
0.6193762,0.50354505,0
0.68464303,0.030039415,4
0.2735721,-0.14753988,1
0.47285202,-0.21070345,0
0.17733327,-0.35798174,1
0.2583896,-0.20260979,1
-0.0708353,0.31649065,2
0.073931105,-0.22390942,2
0.12641913,-0.5012239,1
-0.37413883,-0.08852558,2
0.26916483,-0.5795445,1
-0.044281106,-0.35105076,1
0.02869535,-0.20793293,1
0.29514715,0.3312632,0
0.37797278,-0.008915196,1
0.124504566,-0.4035963,1
